,teamNumber,nameShort,location,latitude,longitude
1744,5941,SPQL,"Everett, Washington",47.9673056,-122.201399
2501,5942,Warriors,"Walla Walla, Washington",46.2055155,-118.5174284
2502,5943,The Bad News Gears,"Carmel, New York",41.4266361,-73.6788272
2503,5944,Robotic Pioneers,"Mooresville, Indiana",39.6128243,-86.37416
2504,5945,|CTRL| (Absolute Control),"Fulton, Maryland",39.1509408,-76.9230307
2505,5947,Robojags,"nan, Belmont, New York",-33.0228755,151.6628621
1453,5949,TechGarage,"Boca Raton, Florida",26.3586885,-80.0830984
2507,5950,Trojans,"Dryfork, Virginia",38.9689528,-79.5026951
639,5953,NOLA BOTS,"New Orleans, Louisiana",29.9759983,-90.0782127
2509,5954,Portable Chargers,"nan, Victoria, Virginia",-37.8914658,145.0305681
2510,5955,Trailblazers,"Bellport, New York",40.7570429,-72.9392727
1512,5956,Falcons,"Milwaukie, Oregon",45.4440051,-122.6412523
776,5957,CAT 5 CyberCanes,"Newport News, Virginia",36.9775016,-76.42977
441,5958,Blue Wave Robotics,"Providence, Rhode Island",41.8239891,-71.4128343
2514,5960,Mighty ROBO-RANGERS,"Mission , Texas",26.2159066,-98.3252932
2515,5962,perSEVERE,"Lowell, Massachusetts",42.6414437,-71.3085329
323,5963,CA Frost High School,"Grand Rapids, Michigan",42.9632405,-85.6678639
2517,5964,The Praetorians,"Voorheesville, New York",42.653967,-73.9287366
2148,5965,Power Struck Girls,"Marrero, Louisiana",29.8835055,-90.11844862641495
1638,5966,Huntington Beach High School Oilers,"Huntington Beach, California",33.6783336,-118.0000166
2520,5968,Cyborg Indians,"Manhattan, Kansas",39.1836082,-96.5716694
2521,5969,English Skunkworks,"Jamaica Plain, Massachusetts",42.3116046,-71.1143838
482,5970,BeaverTronics,"Beaverton, Oregon",45.4871723,-122.80378
2523,5971,Raider Robotics Team,"Metairie, Louisiana",29.9899926,-90.1505426
2524,5973,Moonshots,"Gates Mills, Ohio",41.517779,-81.403788
2525,5974,Mechanical Dragons,"Murray, Utah",40.6667841,-111.888417
461,5975,Beta Blues,"Portland, Oregon",45.5202471,-122.674194
679,5976,CyberSaders,"Waukesha, Wisconsin",43.0116784,-88.2314813
461,5977,Rosemary Anderson H S/POIC,"Portland, Oregon",45.5202471,-122.674194
862,5979,Apex,"Columbia, Maryland",39.1938429,-76.86460919353361
2530,5980,East Grand Rapids Robotics,"East Grand Rapids, Michigan",42.9412024,-85.6097309
196,5981,Thunderbotz,"nan, San Antonio, Texas",-23.11081025,-46.9602982923831
2532,5982,Circuits  of Destruction ,"Merrill, Michigan",43.410101,-84.331059
2533,5984,Salina Robotics,"Salina, Oklahoma",36.2928692,-95.1532966
196,5986,Iron Fangs,"nan, San Antonio, Texas",-23.11081025,-46.9602982923831
2535,5989,Panthers,"Ewen, Michigan",46.535222,-89.2812556
2536,5991,One Stones,"Westbrook, Minnesota",44.0405625,-95.4345304
2537,5992,Pirates,"West Orange, New Jersey",40.7987113,-74.2390353
2538,5997,Knightling Boltz,"St. Gabriel, Louisiana",30.25154,-91.07423740067597
2539,5998,E.A.R.L and the Chillbots,"International Falls, Minnesota",48.601033,-93.4105904
2540,5999,Byte Force,"Milaca, Minnesota",45.755799,-93.6544079
238,6000,Firehawk Robotics,"nan, Los Angeles, California",34.0049604,-117.7877947
546,6002,ZooBOTix,"Kalamazoo, Michigan",42.291707,-85.5872286
2543,6003,S.U.M. (Singularly Unified Madness),"Buies Creek, North Carolina",35.412332500000005,-78.73665059608209
2483,6004,f(x) Robotics,"Smithfield, North Carolina",35.5085531,-78.33936
2545,6005,Cardinaltronics,"Custer, Michigan",43.951951,-86.219521
2546,6011,Cyber Trojans,"Sturgis, Michigan",41.799217,-85.4191482
2164,6012,STEAMROLLERS,"Bedford, Indiana",38.8611619,-86.4872149
552,6013,Robowolves,"Detroit, Michigan",42.3315509,-83.0466403
2549,6015,Juicy Bots,"Hackensack, New Jersey",40.8871438,-74.0410865
2550,6016,Tiger Robotics,"Hackettstown, New Jersey",40.8538944,-74.8291638
2551,6019,Metabots,"Lapeer , Michigan",43.0904764,-83.2333705
2552,6020,JGHS,"Bay City, Michigan",43.5944677,-83.8888648
2553,6021,Team T.I.G.E.R.S,"Sussex, Virginia",36.9096897,-77.2741121
2554,6022,BP Robotics,"Blooming Prairie, Minnesota",43.8668066,-93.0552513
1498,6023,DISCBOTS,"Decatur, Georgia",30.8736613,-84.5740953
943,6026,Tiger Strike,"Broken Arrow, Oklahoma",36.0525993,-95.7908195
2557,6027,Brain Waves,"Newark, Ohio",40.0581205,-82.4012643
2558,6029,The Railbots,"Lincoln Park, Michigan",42.2505943,-83.1785361
2559,6032,Pirate Robotics,"West Carrollton, Ohio",39.6722812,-84.2521632
2560,6033,Gaget Agents,"Mount Pleasant, Michigan",43.597646,-84.7668495
653,6034,Eagle Storms,"Florissant, Missouri",38.7919683,-90.3227803
2,6036,Terrace Tech,"nan, Palo Alto, California",-22.2191852,-49.9758677
2563,6039,PiRobotics,"Pebble Beach, California",36.5672414,-121.9442134
2564,6043,Allegan Tigers Robotics Team,"Allegan, Michigan",42.5867203,-85.8861492
2565,6044,Circuit Breakers,"Moose Lake, Minnesota",46.4543725,-92.761976
2566,6045,LiGHT SABRES,"Sartell, Minnesota",45.6216319,-94.2069365
2567,6047,Proctor Frostbyte,"Proctor, Minnesota",46.7471638,-92.2254695
2568,6051,RocktaÏ€,"Converse, Texas",29.5180081,-98.3161241
2569,6053,Magi Pride,"Colon, Michigan",41.9583823,-85.3249817
2570,6054,Dukes,"Alliance, Ohio",40.9153362,-81.1059309
2571,6055,Pioneers ,"Batesville , Arkansas",35.769799,-91.6409722
2572,6056,Brotherhood of Steel,"Rothsay, Minnesota",46.4739548,-96.2808631
408,6057,Team Edsel,"Dearborn, Michigan",42.3222599,-83.1763145
2574,6059,System Overload Robotics,"Livermore, California",37.6820583,-121.768053
2575,6060,Desert Developers,"Rosamond, California",34.8641446,-118.1634075
323,6065,Titanium Dragons,"Grand Rapids, Michigan",42.9632405,-85.6678639
2577,6066,Rambler Robotics,"McBain, Michigan",44.193623,-85.213376
2578,6067,Underdogs,"St. Charles, Michigan",43.2969699,-84.1405346
2579,6068,Delta Overload,"Indianola, Mississippi",33.4509513,-90.6550917
2580,6069,BHS Robotics,"Bloomington, California",34.07029,-117.395879
2552,6071,Bot Central,"Bay City, Michigan",43.5944677,-83.8888648
2582,6072,CdM Robotics Club,"Newport Beach, California",33.6170092,-117.9294401
274,6073,Cav-Bots,"Saginaw, Michigan",43.4200387,-83.9490365
2584,6074,RoscoBots,"Roscommon, Michigan",44.3326932,-84.6165164
2585,6075,Leland Zebrotics,"Leland, Michigan",45.0228754,-85.7601164
2586,6076,Mustangs,"Northport, Washington",48.915582,-117.782622
2587,6077,Wiking Kujon,"Posen, Michigan",45.261957,-83.698878
2588,6078,RoboRams,"Holt, Michigan",42.63656105,-84.52253151254968
2589,6079,Mech Tech,"Powers, Michigan",45.689965,-87.52596
2590,6081,Digital Dislocators,"Manchester, Michigan",42.1503178,-84.0377231
2591,6084,Swoop Robotics,"CINCINNATI, Ohio",39.1014537,-84.5124602
2592,6085,Devil Bots,"Brown City, Michigan",43.212249,-82.98966
2593,6086,Ignition,"Mt. Morris, Michigan",43.118637,-83.694958
2594,6087,Cybertronic Lancers,"Ellsworth, Michigan",45.165391,-85.2461821
2595,6088,Stephenson Eagles,"Stephenson, Michigan",45.415251,-87.607616
2596,6089,Annapolis Cougars,"Dearborn Heights, Michigan",42.3369816,-83.2732627
2597,6090,Wayland Wildcats,"Wayland, Michigan",42.6745321,-85.6457663
2598,6091,Eagle 1,"Deckerville, Michigan",43.526686,-82.735211
2599,6092,Q-Bots,"Quincy, Michigan",41.9442145,-84.8838525
2600,6093,Unplugged,"Sandusky, Michigan",43.420299,-82.829657
2601,6094,Manic Mechanics,"Montague, Michigan",43.416677,-86.357013
552,6096,UPSM Cobras,"Detroit, Michigan",42.3315509,-83.0466403
2603,6097,Botcats ,"Brethren, Michigan",44.304449,-86.0189694
2604,6098,bIrobot,"Beaver Island, Michigan",45.666078150000004,-85.55442159714224
552,6099,Knight Riders,"Detroit, Michigan",42.3315509,-83.0466403
2606,6100,MSMohawks,"Morley, Michigan",43.490861,-85.443928
296,6101,RoboRaid,"nan, Ann Arbor, Michigan",42.2737117,-83.74215116398906
2608,6102,Mustangs,"Blanchard, Michigan",43.5197478,-85.0797983
2609,6103,The Develocity,"Plaquemine, Louisiana",30.2840655,-91.2370772
1853,6105,Firebirds with Skills,"Nashville, Tennessee",36.1622767,-86.7742984
190,6107,Cyber Jagzz,"Huntsville, Alabama",34.729847,-86.5859011
2612,6108,DRAGONBOTS,"Clinton Twp. , Michigan",42.5869782,-82.9200047
2613,6109,Longhorn Robotics,"Payson, Arizona",34.2406479,-111.3230261
19,6111,Battle Guard,"nan, Houston, Texas",29.825009,-95.478675
2615,6112,Stang Nation,"Munising, Michigan",46.4100035,-86.6494698
2616,6113,M.A.R.C. 1,"Menominee, Michigan",45.5785741,-87.562159
2617,6114,Do the Thing,"Hamilton, Michigan",42.6772496,-86.0061464
2618,6116,Cougar Robotics,"Garden City, Michigan",42.3255929,-83.3310422
0,6117,Team Eagle,"Pontiac, Michigan",42.6389216,-83.2910468
2620,6119,Puma's,"Coldwater, Michigan",41.9403263,-85.0005215
2621,6120,Cyberstangs,"New Haven, Michigan",43.0936376,-84.1533058
2622,6121,Robo Vikes,"Grayling, Michigan",44.661517,-84.714637
2623,6122,Bear Lake,"Bear Lake, Michigan",44.420835,-86.148143
2624,6123,Mad Scientist Club,"Lake Elsinore, California",33.6680772,-117.3272615
196,6126,Robo-Blazers,"nan, San Antonio, Texas",-23.11081025,-46.9602982923831
2626,6127,BHS Pumatrons,"Bisbee, Arizona",31.4481547,-109.928408
2627,6128,The Automatics,"Hart, Michigan",43.698341,-86.363965
516,6129,Shadle Park,"Spokane, Washington",47.6571934,-117.42351
2629,6131,NLR Robotics,"North Little Rock, Arkansas",34.769536,-92.2670941
2630,6132,Ranger Robotics,"Crosby, Minnesota",46.4821848,-93.9577612
2631,6133,Haltom Robotics,"Haltom City, Texas",32.7995738,-97.2691817
552,6136,Ravens,"Detroit, Michigan",42.3315509,-83.0466403
2633,6137,Red Theory,"Constantine, Michigan",41.8411603,-85.6686026
2634,6138,Bulldogs,"Centreville, Michigan",41.9234455,-85.5287424
2635,6139,HGCCA,"Dublin, Georgia",32.5404447,-82.903754
2636,6143,APEX Automation,"Sarver, Pennsylvania",40.7314538,-79.7458838
1060,6144,Angelbots Gold,"El Paso, Texas",31.7550511,-106.4882345
2638,6145,War Eagles,"Crawfordville, Florida",30.1760358,-84.3751778
2639,6146,Blackjacks,"Dawson, Minnesota",44.932738,-96.054481
2640,6147,Tonkabots,"Minnetrista, Minnesota",44.923562,-93.7186813
2042,6150,BlueBotics,"Adrian, Michigan",41.8975152,-84.0373054
2642,6152,ROBO-FALCONS,"DEARBORN HEIGHTS, Michigan",42.3369816,-83.2732627
2643,6153,Blue Crew,"Farmington, Maine",44.671094,-70.151825
196,6155,ElektraBots,"nan, San Antonio, Texas",-23.11081025,-46.9602982923831
2645,6157,Ragnarok,"Benton, Kentucky",36.8572781,-88.350315
2646,6158,PiRbot2,"Birmingham, Alabama",33.5206824,-86.8024326
2647,6160,Bombatrons,"Barnum, Minnesota",46.5030014,-92.6885313
2648,6161,Equilibrium,"Gray, Maine",43.8860922,-70.3303592
2646,6163,Mustangs,"Birmingham, Alabama",33.5206824,-86.8024326
2650,6164,DNH Robotics,"Dike, Iowa",42.4640851,-92.6282724
2651,6166,Thorobotics,"Holmen, Wisconsin",43.9632962,-91.2562539
2652,6167,CB Bearbots,"Hemingway, South Carolina",33.7537774,-79.4475566
2182,6171,WCR,"Plano, Texas",33.0136764,-96.6925096
2654,6172,Team Jupiter,"Fairfield, Maine",44.588511,-69.599075
2655,6173,Elgin Metal Mayhem,"Elgin, Texas",30.3495084,-97.371118
2656,6174,Kaprekar's Constants,"Winters, California",38.5249065,-121.970801
2657,6175,Mystery Machine,"Eden Valley, Minnesota",45.3260745,-94.5461074
2658,6176,MTS,"MInneapolis, Minnesota",44.9772995,-93.2654692
456,6177,Atomic-Robotic-Dogs,"Atlanta, Georgia",33.7489924,-84.3902644
2660,6180,JDA Lions,"Mission, Texas",26.2159066,-98.3252932
2661,6181,Cryptic Cyborgs,"Archbold, Ohio",41.5211332,-84.3065469
2662,6183,RIGS - Robotics Inspired Greenland Students,"Greenland, Arkansas",35.9948477,-94.1796014
2663,6184,Lionaters,"Tallahassee, Florida",30.4380832,-84.2809332
2664,6185,TV Patriots,"New Madison, Ohio",39.9678269,-84.709124
2665,6186,Knights of the Claw,"Hope, Arkansas",33.6670616,-93.5915665
2666,6189,Cyber Raiders,"Amelia, Virginia",37.3319664,-78.008448
310,6190,Will-er Run,"Canton, Michigan",42.3076547,-83.4868961
2552,6193,The Legend of Robotics,"Bay City, Michigan",43.5944677,-83.8888648
2669,6194,Gold Dukes,"nan, Cumberland, Virginia",-33.8411977,150.9645412
154,6195,GOLDBOTS,"nan, Brooklyn, New York",40.6038604,-73.9966803
2671,6196,Spontaneous Disassembly,"College Station, Texas",30.5955289,-96.3071042
2672,6198,Bayou Bots,"Pensacola, Florida",30.421309,-87.2169149
2673,6201,The Highlanders,"Somerville, Massachusetts",42.3875968,-71.0994968
2549,6203,Titanium Knights Robotics,"Hackensack, New Jersey",40.8871438,-74.0410865
2675,6208,Mechstangs,"Portage, Michigan",42.2011538,-85.5800022
1038,6210,The Dragons Lair,"Salt Lake City, Utah",40.7596198,-111.886797
2677,6213,Team Quantum,"Bowie, Maryland",38.9424464,-76.7301718
2678,6214,Los Creadores,"Burgaw, North Carolina",34.5521113,-77.926098
2679,6215,Armored Eagles,"Warrenton, North Carolina",36.3984804,-78.1552706
2680,6216,movers and shakers ,"chester, Pennsylvania",39.9829308,-75.7652424
2681,6217,Bomb-Botz,"Cannon Falls, Minnesota",44.5109025,-92.90084727068178
2682,6219,Cuttin' Edge Robotics,"Blountville, Tennessee",36.533767,-82.33343531171823
2683,6220,BUILD IT GRIFFINS BOEING,"Los Alamitos, California",33.8038865,-118.0772433
2684,6221,Vandals,"Miami, Arizona",33.3994776,-110.87095
2652,6222,Hemingway Tigers,"Hemingway, South Carolina",33.7537774,-79.4475566
2686,6223,Menomonee Falls,"Menomonee Falls, Wisconsin",43.1790768,-88.1170784
2687,6224,The Saints,"Auburn, Maine",44.0978509,-70.2311655
2688,6225,GRA Roarin' Robotics,"Fort Pierce, Florida",27.4467056,-80.3256056
2195,6226,Blue Devils,"Burlington, New Jersey",40.0192445,-74.81923825
2690,6235,Robo-Nerds,"Midlothian, Texas",32.482361,-96.9944489
1094,6236,Robots at The Center of the Universe,"Ashland, Virginia",37.7594012,-77.4806603
2692,6237,Martin Motion,"Neponset, Illinois",41.29587,-89.7903802
